request_id,customer_id_or_new,received_at,channel,raw_message,language
R001,C001,2025-01-14T10:00,WEB,"aircon is leaking East 2025-01-15T10:00 2025-01-15T13:00",en
R002,C002,2025-01-14T10:05,WEB,"routine servicing West 2025-01-15T10:00 2025-01-15T13:00",en
R003,C003,2025-01-14T10:10,PHONE,"power trip Central 2025-01-15T08:00 2025-01-15T12:00",en
R004,C004,2025-01-14T10:15,WEB,"drain blockage North 2025-01-15T10:00 2025-01-15T15:00",en
R005,C005,2025-01-14T10:20,EMAIL,"tap leakage South 2025-01-15T14:00 2025-01-15T18:00",en
R006,C006,2025-01-14T10:25,WEB,"socket repair East 2025-01-15T10:00 2025-01-15T14:00",en
R007,C007,2025-01-14T10:30,WEB,"minor installation West 2025-01-15T13:00 2025-01-15T18:00",en
R008,C008,2025-01-14T10:35,PHONE,"not cooling Central 2025-01-16T11:00 2025-01-16T16:00",en
R009,C009,2025-01-14T10:40,WEB,"Need help in North 2025-01-15T09:00 2025-01-15T12:00",en
R010,C010,2025-01-14T10:45,WEB,"toilet blockage South",en
