job_id,customer_id,service_rule_id,priority,estimated_duration_min,window_start,window_end,zone,status
J001,C001,AC-ROUTINE,NORMAL,60,2025-01-15T08:00,2025-01-15T12:00,East,SCHEDULED
J002,C002,AC-LEAK,HIGH,90,2025-01-15T09:00,2025-01-15T13:00,West,SCHEDULED
J003,C003,AC-DIAG,NORMAL,90,2025-01-15T13:00,2025-01-15T17:00,Central,SCHEDULED
J004,C004,PL-LEAK,NORMAL,60,2025-01-15T08:00,2025-01-15T12:00,North,SCHEDULED
J005,C005,PL-BLOCK,HIGH,90,2025-01-15T09:00,2025-01-15T14:00,South,SCHEDULED
J006,C006,PL-FIXTURE,NORMAL,60,2025-01-15T13:00,2025-01-15T17:00,East,SCHEDULED
J007,C007,EL-REPAIR,NORMAL,60,2025-01-15T09:00,2025-01-15T13:00,West,SCHEDULED
J008,C008,EL-TRIP,HIGH,90,2025-01-15T13:00,2025-01-15T17:00,Central,SCHEDULED
J009,C009,EL-INSTALL,NORMAL,120,2025-01-15T09:00,2025-01-15T14:00,North,SCHEDULED
J010,C010,AC-ROUTINE,NORMAL,60,2025-01-15T13:00,2025-01-15T17:00,South,SCHEDULED
J011,C011,PL-LEAK,NORMAL,60,2025-01-15T10:00,2025-01-15T14:00,East,SCHEDULED
J012,C012,EL-REPAIR,NORMAL,60,2025-01-15T14:00,2025-01-15T18:00,West,SCHEDULED
J013,C001,AC-LEAK,HIGH,90,2025-01-16T08:00,2025-01-16T13:00,East,SCHEDULED
J014,C004,PL-BLOCK,HIGH,90,2025-01-16T09:00,2025-01-16T14:00,North,SCHEDULED
J015,C008,EL-TRIP,HIGH,90,2025-01-16T10:00,2025-01-16T15:00,Central,SCHEDULED
J016,C010,AC-ROUTINE,NORMAL,60,2025-01-16T13:00,2025-01-16T17:00,South,SCHEDULED
