job_id,technician_id,scheduled_start,scheduled_end,assignment_status,customer_confirmed
J001,T001,2025-01-15T08:00,2025-01-15T09:00,CONFIRMED,1
J002,T002,2025-01-15T09:00,2025-01-15T10:30,CONFIRMED,1
J003,T001,2025-01-15T13:00,2025-01-15T14:30,ASSIGNED,0
J004,T004,2025-01-15T08:00,2025-01-15T09:00,CONFIRMED,1
J005,T005,2025-01-15T09:00,2025-01-15T10:30,CONFIRMED,1
J006,T004,2025-01-15T13:00,2025-01-15T14:00,ASSIGNED,0
J007,T006,2025-01-15T09:00,2025-01-15T10:00,CONFIRMED,1
J008,T007,2025-01-15T13:00,2025-01-15T14:30,ASSIGNED,0
J009,T006,2025-01-15T11:00,2025-01-15T13:00,CONFIRMED,1
J010,T003,2025-01-15T13:00,2025-01-15T14:00,ASSIGNED,0
J011,T005,2025-01-15T11:00,2025-01-15T12:00,CONFIRMED,1
J012,T007,2025-01-15T15:00,2025-01-15T16:00,CONFIRMED,1
J013,T002,2025-01-16T09:00,2025-01-16T10:30,CONFIRMED,1
J014,T004,2025-01-16T09:00,2025-01-16T10:30,CONFIRMED,1
J015,T006,2025-01-16T10:00,2025-01-16T11:30,CONFIRMED,1
J016,T001,2025-01-16T14:00,2025-01-16T15:00,CONFIRMED,1
